,target1,target2
1661,10222,639
1662,9072,640
1663,9166,641
1664,10904,642
1665,10074,643
1666,9907,644
1667,8675,644
1668,10095,644
1669,8418,644
1670,9804,644
1671,8835,644
1672,10524,644
1673,8781,645
1674,9053,646
1675,8793,647
1676,10288,648
1677,10908,648
1678,10908,648
1679,9811,648
1680,10308,649
1681,9525,649
1682,8819,649
1683,9468,650
1684,9577,650
1685,9158,650
1686,10616,650
1687,10177,650
1688,8797,650
1689,9935,650
1690,9423,650
1691,9326,650
1692,9828,650
1693,8653,651
1694,8831,651
1695,10187,652
1696,9121,653
1697,9209,654
1698,8534,654
1699,10954,654
1700,9838,655
1701,9744,656
1702,9195,657
1703,8368,658
1704,9865,659
1705,10011,660
1706,9005,661
1707,9814,662
1708,9862,663
1709,10288,664
1710,8734,665
1711,10054,666
1712,10330,667
1713,8901,668
1714,10330,668
1715,11024,669
1716,8835,670
1717,10685,671
1718,10744,671
1719,10052,671
1720,10209,671
1721,10522,671
1722,8976,671
1723,9295,671
1724,10685,671
1725,9993,672
1726,9124,673
1727,8395,674
1728,9719,675
1729,9549,675
1730,8598,676
1731,10882,676
1732,10684,676
1733,10684,676
1734,10288,676
1735,9879,677
1736,8960,677
1737,11024,677
1738,8416,677
1739,9923,677
1740,9877,677
1741,9414,677
1742,10920,677
1743,8983,677
1744,10708,677
1745,9554,677
1746,10060,677
1747,8793,677
1748,8835,677
1749,9460,678
1750,9901,679
1751,9217,680
1752,9870,680
1753,8781,681
1754,8971,682
1755,9310,683
1756,9072,684
1757,9833,685
1758,10829,686
1759,10052,686
1760,10288,686
1761,10076,687
1762,10397,688
1763,8472,689
1764,8587,689
1765,9036,689
1766,10615,689
1767,10174,689
1768,10796,689
1769,10585,689
1770,10236,689
1771,9112,689
1772,9277,689
1773,10152,689
1774,10626,689
1775,8471,689
1776,10920,689
1777,10139,689
1778,9125,689
1779,10124,689
1780,10859,689
1781,9695,689
1782,8793,689
1783,9877,690
1784,10397,691
1785,10128,691
1786,9121,691
1787,9121,691
1788,9695,691
1789,9631,692
1790,10058,692
1791,10823,692
1792,9648,692
1793,8453,692
1794,9361,692
1795,10694,692
1796,9499,692
1797,10090,692
1798,8629,692
1799,10214,692
1800,8674,692
1801,8823,693
1802,8781,693
1803,9864,694
1804,8823,695
1805,8471,696
1806,8836,697
1807,8511,698
1808,9046,698
1809,9166,698
1810,9455,698
1811,8916,698
1812,10082,698
1813,10049,698
1814,9767,699
1815,9554,700
1816,9804,700
1817,9048,700
1818,9644,701
1819,9603,702
1820,9456,703
1821,9607,703
1822,10442,703
1823,8452,704
1824,9058,705
1825,8653,705
1826,10644,706
1827,10061,707
1828,10644,707
1829,9138,707
1830,8916,707
1831,10060,707
1832,9804,707
1833,9048,707
1834,8842,708
1835,10214,709
1836,9525,709
1837,9601,710
1838,9726,711
1839,8537,711
1840,9532,712
1841,8503,713
1842,10039,713
1843,10599,714
1844,9121,714
1845,10097,715
1846,9726,716
1847,9726,717
1848,9726,718
1849,8793,719
1850,8793,719
1851,8525,720
1852,9839,720
1853,10643,720
1854,4929,720
1855,8654,720
1856,10177,721
1857,9844,721
1858,9920,722
1859,8381,723
1860,8418,723
1861,8835,723
1862,9695,724
1863,11034,725
1864,8901,725
1865,9982,725
1866,9804,725
1867,9048,725
